buyer,quantity,1,2,3,4,5,6,7,8,9,10
Buyer1,6000,0.76,0.83,0.83,0.74,0.87,0.88,0.78,0.73,0.73,0.74
Buyer1,16000,0.77,0.78,0.86,0.87,0.79,0.87,0.85,0.81,0.76,0.81
Buyer1,7000,0.88,0.72,0.82,0.85,0.73,0.76,0.8,0.87,0.88,0.76
Buyer1,18000,0.88,0.84,0.74,0.8,0.72,0.78,0.78,0.8,0.77,0.73
Buyer1,18000,0.74,0.8,0.75,0.76,0.86,0.9,0.83,0.78,0.75,0.87
Buyer2,18000,0.87,0.71,0.83,0.82,0.77,0.8,0.86,0.84,0.74,0.73
Buyer2,5000,0.84,0.82,0.76,0.84,0.72,0.74,0.7,0.84,0.73,0.87
Buyer2,3000,0.81,0.73,0.86,0.83,0.76,0.71,0.72,0.73,0.82,0.75
Buyer2,8000,0.87,0.76,0.73,0.73,0.81,0.75,0.79,0.71,0.8,0.85
Buyer2,13000,0.88,0.85,0.75,0.75,0.82,0.84,0.89,0.9,0.77,0.89
Buyer3,8000,0.83,0.89,0.78,0.87,0.73,0.85,0.82,0.81,0.85,0.73
Buyer3,2000,0.84,0.77,0.75,0.71,0.7,0.79,0.77,0.74,0.87,0.83
Buyer3,5000,0.85,0.78,0.75,0.81,0.84,0.77,0.71,0.87,0.79,0.87
Buyer3,17000,0.75,0.85,0.87,0.89,0.74,0.83,0.79,0.87,0.79,0.89
Buyer3,10000,0.79,0.81,0.78,0.72,0.87,0.86,0.8,0.84,0.83,0.81
Buyer4,13000,0.79,0.8,0.82,0.89,0.84,0.82,0.86,0.82,0.9,0.8
Buyer4,3000,0.72,0.76,0.83,0.75,0.84,0.78,0.86,0.77,0.71,0.84
Buyer4,3000,0.9,0.89,0.83,0.79,0.85,0.73,0.72,0.8,0.76,0.72
Buyer4,1000,0.73,0.76,0.82,0.87,0.72,0.82,0.9,0.83,0.79,0.85
Buyer4,6000,0.74,0.88,0.76,0.76,0.71,0.78,0.81,0.88,0.76,0.77
Buyer5,11000,0.8,0.77,0.7,0.72,0.8,0.86,0.71,0.84,0.7,0.71
Buyer5,3000,0.74,0.84,0.72,0.74,0.82,0.74,0.84,0.76,0.84,0.84
Buyer5,2000,0.72,0.88,0.79,0.82,0.73,0.85,0.74,0.71,0.82,0.88
Buyer5,3000,0.72,0.85,0.71,0.7,0.74,0.81,0.81,0.7,0.9,0.72
Buyer5,1000,0.8,0.7,0.86,0.81,0.76,0.89,0.77,0.7,0.7,0.75
Buyer6,11000,0.89,0.76,0.8,0.85,0.88,0.87,0.82,0.82,0.77,0.86
Buyer6,1000,0.89,0.72,0.78,0.83,0.8,0.79,0.75,0.77,0.89,0.77
Buyer6,7000,0.77,0.72,0.84,0.78,0.73,0.87,0.87,0.8,0.84,0.75
Buyer6,1000,0.8,0.78,0.7,0.88,0.74,0.73,0.88,0.71,0.86,0.81
Buyer6,1000,0.72,0.74,0.74,0.88,0.75,0.72,0.85,0.83,0.73,0.78
Buyer7,17000,0.71,0.89,0.72,0.76,0.86,0.81,0.72,0.74,0.81,0.88
Buyer7,18000,0.72,0.7,0.87,0.89,0.74,0.89,0.79,0.89,0.78,0.84
Buyer7,8000,0.89,0.73,0.84,0.84,0.74,0.81,0.73,0.86,0.8,0.78
Buyer7,13000,0.9,0.89,0.88,0.75,0.76,0.81,0.78,0.78,0.88,0.84
Buyer7,3000,0.84,0.71,0.89,0.77,0.76,0.76,0.77,0.86,0.84,0.73
Buyer8,12000,0.89,0.87,0.7,0.83,0.74,0.74,0.84,0.7,0.81,0.89
Buyer8,20000,0.78,0.77,0.73,0.72,0.81,0.76,0.77,0.89,0.78,0.9
Buyer8,5000,0.7,0.74,0.89,0.7,0.73,0.81,0.73,0.87,0.78,0.76
Buyer8,20000,0.79,0.9,0.8,0.87,0.87,0.75,0.78,0.71,0.81,0.85
Buyer8,10000,0.75,0.89,0.85,0.79,0.9,0.89,0.86,0.9,0.72,0.72
Buyer9,19000,0.74,0.86,0.85,0.76,0.75,0.71,0.75,0.71,0.88,0.72
Buyer9,1000,0.81,0.77,0.82,0.75,0.86,0.83,0.87,0.84,0.71,0.7
Buyer9,1000,0.88,0.76,0.78,0.9,0.74,0.78,0.73,0.85,0.85,0.83
Buyer9,5000,0.72,0.89,0.83,0.71,0.7,0.84,0.82,0.77,0.72,0.7
Buyer9,2000,0.9,0.72,0.8,0.85,0.85,0.74,0.84,0.8,0.85,0.7
Buyer10,20000,0.9,0.76,0.8,0.84,0.75,0.74,0.82,0.71,0.82,0.75
Buyer10,3000,0.74,0.71,0.82,0.9,0.74,0.85,0.81,0.71,0.9,0.7
Buyer10,8000,0.75,0.81,0.84,0.78,0.74,0.86,0.87,0.88,0.83,0.7
Buyer10,19000,0.86,0.84,0.81,0.84,0.7,0.74,0.85,0.85,0.81,0.8
Buyer10,6000,0.72,0.84,0.86,0.71,0.87,0.76,0.7,0.75,0.89,0.89
Buyer11,16000,0.9,0.75,0.88,0.82,0.82,0.82,0.75,0.77,0.73,0.88
Buyer11,1000,0.73,0.84,0.73,0.72,0.82,0.7,0.85,0.71,0.74,0.78
Buyer11,20000,0.75,0.89,0.89,0.79,0.83,0.76,0.73,0.76,0.77,0.86
Buyer11,1000,0.73,0.86,0.82,0.89,0.75,0.89,0.8,0.78,0.79,0.77
Buyer11,4000,0.74,0.84,0.9,0.88,0.7,0.75,0.79,0.85,0.74,0.87
Buyer12,2000,0.74,0.71,0.71,0.86,0.73,0.88,0.74,0.75,0.73,0.81
Buyer12,18000,0.74,0.83,0.7,0.76,0.73,0.84,0.71,0.78,0.7,0.85
Buyer12,16000,0.79,0.81,0.8,0.87,0.89,0.89,0.76,0.86,0.89,0.87
Buyer12,4000,0.78,0.74,0.9,0.74,0.73,0.7,0.89,0.74,0.8,0.8
Buyer12,7000,0.84,0.85,0.89,0.9,0.85,0.76,0.78,0.89,0.7,0.82
Buyer13,14000,0.9,0.82,0.85,0.82,0.8,0.81,0.76,0.78,0.81,0.86
Buyer13,20000,0.7,0.72,0.89,0.7,0.8,0.77,0.87,0.78,0.86,0.74
Buyer13,4000,0.84,0.79,0.72,0.88,0.87,0.8,0.73,0.73,0.76,0.81
Buyer13,12000,0.7,0.78,0.79,0.74,0.74,0.7,0.77,0.77,0.85,0.82
Buyer13,1000,0.86,0.79,0.7,0.86,0.84,0.85,0.7,0.78,0.72,0.87
Buyer14,6000,0.75,0.76,0.88,0.85,0.82,0.88,0.87,0.72,0.89,0.72
Buyer14,20000,0.8,0.9,0.8,0.76,0.76,0.77,0.8,0.77,0.8,0.8
Buyer14,19000,0.85,0.75,0.7,0.84,0.78,0.84,0.77,0.81,0.78,0.81
Buyer14,6000,0.73,0.75,0.77,0.87,0.77,0.72,0.71,0.78,0.88,0.81
Buyer14,11000,0.85,0.8,0.85,0.82,0.74,0.75,0.82,0.82,0.84,0.8
Buyer15,2000,0.82,0.84,0.84,0.85,0.72,0.76,0.82,0.83,0.89,0.74
Buyer15,6000,0.76,0.83,0.74,0.89,0.86,0.75,0.88,0.74,0.81,0.75
Buyer15,14000,0.73,0.9,0.84,0.88,0.8,0.88,0.77,0.86,0.77,0.87
Buyer15,3000,0.89,0.84,0.88,0.86,0.83,0.89,0.79,0.84,0.83,0.88
Buyer15,15000,0.76,0.89,0.85,0.89,0.75,0.82,0.75,0.75,0.72,0.9
Buyer16,8000,0.9,0.83,0.88,0.7,0.88,0.82,0.75,0.83,0.84,0.82
Buyer16,4000,0.78,0.85,0.71,0.84,0.81,0.74,0.7,0.8,0.78,0.82
Buyer16,11000,0.73,0.77,0.87,0.77,0.7,0.75,0.78,0.9,0.84,0.78
